,price,sold,title,url,amt_cmts,coments,date,descrip,ele_name,first_date,last_date,pc_url
0," 25,000",0.0,iPhone SE 64GB,https://item.mercari.com/jp/m47837704300/,2.0,"['出品者がコメントを削除しました 4 日前 0', '出品者がコメントを削除しました 4 日前 1']",2018/07/04 23:04:06,"iPhone SE ROSE GOLD 64GB softbank

SIMフリー

一部だけ傷がありますが、その他はカバーしていたため新品同様の美品です。
充電器はついておりませんが、保存箱、イヤホン（未使用）等の備品は全てついております。


2年弱使用していたため、神経質な方はご遠慮下さい。","['レディーガガ\n9 0 0,', '家電・スマホ・カメラ\nスマートフォン/携帯電話\nスマートフォン本体,', 'アップル,', '目立った傷や汚れなし,', '送料込み(出品者負担),', '未定,', '富山県,', '2~3日で発送,']",2018/06/30,2018/06/30,"https://static-mercari-jp-imgtr2.akamaized.net/photos/m47837704300_1.jpg?1530170134,https://static-mercari-jp-imgtr2.akamaized.net/photos/m47837704300_2.jpg?1530170134,https://static-mercari-jp-imgtr2.akamaized.net/photos/m47837704300_3.jpg?1530170134,https://static-mercari-jp-imgtr2.akamaized.net/photos/m47837704300_4.jpg?1530170134"
1," 25,000",1.0,【新品未使用】iPhoneSE SpaceGray 32GB SIMフリー,https://item.mercari.com/jp/m62067323968/,,,,,,,,
2," 25,000",1.0,iPhone SE Rose Gold 128 GB SIMフリー,https://item.mercari.com/jp/m77473528201/,,,,,,,,
3," 25,000",0.0,iPhone SE Silver 64 GB docomo,https://item.mercari.com/jp/m87189657528/,,,,,,,,
4," 25,000",1.0,【新品】iPhoneSE SpaceGray 32GB SIMロック解除済,https://item.mercari.com/jp/m67629328112/,,,,,,,,
5," 25,000",1.0,iPhone SE 32GB 本体 SIMロック解除済み,https://item.mercari.com/jp/m35303649405/,,,,,,,,
6," 25,000",1.0,★toshi_reotan様専用★iPhone SEスペースグレイSIMフリー,https://item.mercari.com/jp/m57962852419/,,,,,,,,
7," 25,000",0.0,iPhone SE Gold 32 GB SIMフリー A-HOUSE様専用,https://item.mercari.com/jp/m36434132306/,,,,,,,,
8," 25,000",1.0,SIMフリー iPhone SE Space Gray 32gb,https://item.mercari.com/jp/m77046151587/,,,,,,,,
9," 25,000",1.0,iPhone6s 64GB au ゴールド 良品 完全動作品,https://item.mercari.com/jp/m76090711645/,,,,,,,,
10," 25,000",1.0,iPhone6s 16GB SIMフリー ローズゴールド 完全動作品,https://item.mercari.com/jp/m21689625223/,,,,,,,,
11," 25,000",1.0,下條裕之様専用☆,https://item.mercari.com/jp/m25855609152/,,,,,,,,
12," 25,000",0.0,iPhone SE 64GB SIMフリー,https://item.mercari.com/jp/m84709358836/,,,,,,,,
13," 25,000",1.0,iPhonese RoseGold 32gb simフリー,https://item.mercari.com/jp/m75185367862/,,,,,,,,
14," 25,000",1.0,iPhone SE Gold 32 GB UQモバイル,https://item.mercari.com/jp/m92912476025/,,,,,,,,
15," 25,000",0.0,iPhone SE Gold 32 GB UQ mobile,https://item.mercari.com/jp/m27008966923/,,,,,,,,
16," 25,000",1.0,iPhone SE Rose Gold 32 GB UQモバイル,https://item.mercari.com/jp/m17964192187/,,,,,,,,
17," 25,000",1.0,iPhone SE Silver 32 GB SIMフリー,https://item.mercari.com/jp/m28840806073/,,,,,,,,
18," 25,000",1.0,iPhone SE Space Gray 64 GB simフリー,https://item.mercari.com/jp/m43302382459/,,,,,,,,
19," 25,000",1.0,ココ様専用 UQ mobile simフリー iPhone SE 32GB,https://item.mercari.com/jp/m52300119131/,,,,,,,,
20," 25,000",1.0,【早い者勝ち】6/22大幅値下げ♬iPhoneSE 64GB 選べる付属品付き,https://item.mercari.com/jp/m16156297480/,,,,,,,,
21," 25,000",1.0,【送料無料】SIMフリー iPhoneSE 32G,https://item.mercari.com/jp/m30156526940/,,,,,,,,
22," 25,000",0.0,"iPhone SE, Rose Gold, 16GB, SIMフリー",https://item.mercari.com/jp/m66718501928/,,,,,,,,
23," 25,000",1.0,iPhone SE Space Gray 64 GB SIMフリー アメリカ物,https://item.mercari.com/jp/m57602424210/,,,,,,,,
24," 25,000",1.0,iPhone SIMフリー,https://item.mercari.com/jp/m98312461826/,,,,,,,,
25," 25,000",1.0,iPhone SE Space Gray 64 GB SIMフリー,https://item.mercari.com/jp/m47720075843/,,,,,,,,
26," 25,000",1.0,iPhone SE Rose Gold 64 GB SIMフリー,https://item.mercari.com/jp/m94528866840/,,,,,,,,
27," 25,000",1.0,iPhone SE Rose Gold 32 GB SIMフリー,https://item.mercari.com/jp/m70475322917/,,,,,,,,
